"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1744782751.782,0,0,0,0.0758027075406598,0.31902570405050396,0.11168871856051947,0.14115101327368054,0,0.5884221405111657,0,-27.0,40.0,-10.0,-20.080564498901367,0.3662109076976776,-75.74462890625,-0.2855224609375,0.4791259765625,0.0703125
1744782751.792,0,0,0,0.08036079333860864,0.23937888511456662,0.11168871856051947,0.13810630543022406,0,0.5370943969321637,0,-27.0,40.0,-10.0,-20.080564498901367,0.3662109076976776,-75.74462890625,-0.35986328125,0.48876953125,0.1123046875
1744782751.802,0,0,0,0.09173932909288983,0.11856592612840755,0.10025828942939043,0.11239951596861396,0,0.5370943969321637,0,-27.0,40.0,-10.0,-13.854979515075684,-0.1831054538488388,-89.11132049560547,-0.48876953125,0.548828125,0.1181640625
1744782751.812,0,0,0,0.09173932909288983,0,0.11168871856051947,0.14115101327368054,0,0.5370943969321637,0,-27.0,40.0,-10.0,-6.347655773162842,0.4272460639476776,-101.62352752685548,-0.48876953125,0.548828125,0.1181640625
1744782751.822,0,0,0,0.0788206405169664,0,0.1299185309110694,0.15694894729441247,0,0.547318908691757,0,-27.0,40.0,-10.0,2.197265625,0.30517578125,-113.52538299560548,-0.5765380859375,0.570068359375,0.1307373046875
1744782751.832,0,0,0,0.0672361682248786,0.6208633355046229,0.14278953302732666,0.18424563798023377,0,0.5575642343301956,0,-27.0,40.0,-10.0,11.840819358825684,-1.5869139432907104,-125.97655487060548,-0.6708984375,0.5411376953125,0.15478515625
1744782751.842,0,0,0,0.043570735534418606,0.35783469218866887,0.14278953302732666,0.18069596189391676,0,0.5370943969321637,0,-27.0,40.0,-10.0,22.216794967651367,-3.723144292831421,-138.36669921875,-0.7783203125,0.46875,0.182373046875
1744782751.862,0,0,0,0,0.02253668017374491,0.0947612706681806,0.07401080889207454,0,0.45608697295554285,0,-18.0,44.0,-13.0,37.53662109375,2.01416015625,-149.169921875,-1.4261474609375,0.58740234375,0.1729736328125
1744782751.873,0,0,0,0.052179846766082116,0,0.3816881877825534,0.5240978775763955,0,0.5370943969321637,0,-18.0,44.0,-13.0,22.216794967651367,10.437010765075684,-134.6435546875,-1.4261474609375,0.58740234375,0.1729736328125
1744782751.882,0,0,0,0.06587776994124252,0,0.4928717132103323,0.7482341226041237,0,0.30854860019919206,0,-18.0,44.0,-13.0,22.216794967651367,10.437010765075684,-134.6435546875,-1.943603515625,1.8748779296875,-0.1060791015625
1744782751.892,0,0.011576415118155008,0,0.0714292938755357,0,0.6982764471724004,1.116910859495015,0,0.45608697295554285,0,-18.0,44.0,-13.0,54.992671966552734,66.83349609375,-70.4345703125,-1.943603515625,1.8748779296875,-0.1060791015625
1744782751.902,0,0.014908787709695285,0,0.08036079333860864,0,0.874193903713198,1.219821698117645,0,0.5575642343301956,0,-18.0,44.0,-13.0,23.437498092651367,-8.30078125,-107.23876190185548,-1.7691650390625,1.802490234375,0.4276123046875
1744782751.912,0,0.06962371070737375,0,0.16097647688972544,0,1.633935286224993,1.6466072136810423,0,1.0036004313757632,0,-18.0,44.0,-13.0,23.437498092651367,-8.30078125,-107.23876190185548,-1.60498046875,-0.8375244140625,0.21337890625
1744782751.922,0,0.23737657083264055,0,0.369099427399968,0,2.7424871725871793,1.8946636229932763,0.20071592748748926,2.0539010849544748,0,-18.0,44.0,-13.0,-10.681151390075684,-56.274410247802734,-169.31150817871094,-1.428466796875,-1.28173828125,-0.1837158203125
1744782751.932,0,0.4076818330356639,0.012182564899404264,0.5526247408672221,0,3.323842666753703,2.327522504517239,0.662333793776405,2.9590511610118897,0,-18.0,44.0,-13.0,-10.681151390075684,-56.274410247802734,-169.31150817871094,-1.428466796875,-1.28173828125,-0.1837158203125
1744782751.942,0,0.5519120495590607,0.06861618408873117,0.6479614325367298,0.7141695175854365,3.86377122715268,2.4359191622335805,0.9732186476804487,3.5679299372333455,0.022040773510359053,-18.0,44.0,-13.0,-0.4882812201976776,-52.246089935302734,-132.99560546875,-1.712646484375,-0.5772705078125,0.516845703125
1744782751.962,0,0.315848639708636,0.07129114244949762,0.5407068682222798,0.9580833148288149,3.3528345088453406,2.4674101959341774,0.8599367285692975,3.6307366660604474,0.061775812117665425,-5.0,45.0,-15.0,2.929687261581421,-24.536130905151367,-173.21775817871094,-1.9041748046875,-0.3265380859375,0.5167236328125
1744782751.972,0,0.32298280000385926,0.08272096552568747,0.5466429993649967,0.9819108670501961,3.323842666753703,1.8946636229932763,0.756489227630089,3.417686596956658,0.0600929388829222,-5.0,45.0,-15.0,-5.310058116912842,-22.338865280151367,-187.3779144287109,-1.419921875,-0.4461669921875,0.4637451171875
1744782751.982,0,0.21408193393185987,0.09537116858936408,0.4893010819899834,0.6801448219482884,3.323842666753703,2.4674101959341774,1.0808426040276138,3.718864599571819,0.019063022556007933,-5.0,45.0,-15.0,-9.94873046875,-18.85986328125,-151.79443359375,-1.22509765625,-0.2100830078125,0.1953125
1744782751.992,0,0.44136378021733597,0.13280161639189114,0.7248229095897762,0.378018762590813,3.2662145903831723,2.4359191622335805,1.0649665684116054,3.618165798950354,0,-5.0,45.0,-15.0,-13.000487327575684,-13.061522483825684,-97.35106658935548,-1.22509765625,-0.2100830078125,0.1953125
1744782752.002,0,0.36775604291180186,0.10217594836275774,0.4163052112718259,0,3.3528345088453406,2.4674101959341774,1.0808426040276138,3.6307366660604474,0,-5.0,45.0,-15.0,-13.000487327575684,-13.061522483825684,-97.35106658935548,-0.8887939453125,0.095458984375,-0.2938232421875
1744782752.012,0,0.4076818330356639,0.14135495111194143,0.4783624180370729,0.35783469218866887,3.323842666753703,2.4046598549189615,1.096888652095914,3.718864599571819,0.012935416642149289,-5.0,45.0,-15.0,-16.29638671875,-45.837398529052734,-40.771480560302734,-0.861083984375,-0.064697265625,-0.0411376953125
