Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P31,37.629437135820176,25.506461182473345,18.359902998042188,8.807169211159536,2.698575374219437,1.0591474053084322,3.6045392704826478,4.781992574079047,5.634017663337015,6.307944951526513,7.190245016589886,7.7175353215128695,7.905091040329567,7.725048839544964,7.583581413640795,7.3108538822984395,7.01343754245271,6.695502889432854,6.346713886920933,9.467220926272175
P32,53.93424983629737,32.67493953920242,17.780963580719174,8.993355407258868,4.485546519379553,2.164993882491417,0.6924678663297724,0.6562781295276253,1.7400366762326689,2.260864086073459,2.097496227403298,2.6262705395486328,3.003582242489742,3.2097246180108794,3.2043611108078234,2.944858516916423,2.224239779435259,1.95038612141084,1.8095908682474804,7.813379239356985
P33,63.14490348650827,44.31279894759102,31.693919445788215,24.21788876571321,16.671137367832905,11.405353075408904,7.96306554122838,5.017324673657955,2.63464000798878,0.9150022002410435,0.995297501168466,2.159869242249557,2.899809894469408,3.9667677524502025,4.332885717367346,4.548585932522321,5.042165024301947,5.7133674075331955,6.314885964528781,12.839456207818415
P34,49.605661379015665,35.92254472185261,26.345308449475347,19.711588627578912,14.563412666105034,10.345406277550053,7.276695859476871,4.7422826138380225,1.9306445558214251,0.11415640904194128,1.4673681381695693,2.296435931671633,3.2465712899368624,4.024217906278986,4.267042921289922,4.4844643572215315,5.045988470379313,5.5425568137639365,5.693821647077288,10.875061528186576
P35,49.48099554020934,31.99205185068742,20.516526972347584,11.073905756592552,6.212927968339052,3.0847106987612336,0.7494586447411404,0.1439338822059894,0.5226329653233405,1.0450882524705287,1.8611017220947756,1.9426569936884293,2.146622643779808,2.61657937656231,2.7546762187026546,2.4892989274602795,2.2025484046039847,2.1320984537220156,1.7429700557896377,7.616357122530635

Method: true_2point
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,44.381745001304495,28.151315183976703,18.355830009719647,13.969588961178216,9.15948850385936,5.5352312245292286,2.7289951436071065,0.7958056725210664,2.879356508018723e-09,0.7016994673624068,1.475306581635659,1.887361406438784,1.8664700882818475,1.8656958334799503,1.7233282630415407,1.481997742970693,1.0520256791732152,0.6307403621013178,1.352377781051088e-09,7.145401322600684
P2,71.33278139806947,54.18576579470554,37.346273719837164,22.295738861402,13.488358342038813,8.291549617360007,4.260590184314255,1.3496189678777235,8.442107754427993e-08,0.7887118474473329,1.425116157980506,2.3249800144925614,2.324659720788295,2.436211665546887,2.3946982334967237,2.2241483901195145,1.9017181072473108,1.0355851846246271,1.1745643790702542e-07,12.074026653117171
P3,63.72631909377403,53.23225217346414,33.78365337582975,24.48933451574843,13.961630869947644,9.784443334493277,4.8418081396707295,2.0240724802731447,7.732152640803914e-08,0.5490069678285563,0.8835113906789834,0.7581275086990563,0.7537899389855235,0.9378358848111567,0.9046682208448311,0.6854327164963557,0.4441835461684998,0.22016713841892888,1.0845198202017778e-07,11.15685460431087
P4,79.4274661984941,53.45365149602313,50.451944542478984,46.72904299763528,34.015839220840796,17.96360016963743,9.847163371862727,3.5264969513800577,6.330672080561352e-08,2.0195382977231082,1.6507777011911284,1.2837884625446652,1.5912838337549213,1.7363089141095709,1.9433907076676786,1.7596845309843288,1.2499114611854685,0.6699908094005559,9.238324615125099e-08,16.27999367487389
P5,90.09519424060485,79.26032814980003,67.1610164108674,49.92079459435908,34.99312309253654,19.619139002656958,8.565662111345581,3.1490267232272333,7.792227087666748e-08,1.7095762978548268,2.9270919233564414,4.572245920094268,4.972276500869049,4.1792826920661,3.4925586815466043,2.768444619465046,1.856594684124946,0.8721680814333296,1.1209460789354117e-07,20.006027574538162
P6,90.70003849337473,90.2487406269794,74.03876360342736,38.08073003482247,22.14661529740635,12.842841559189276,5.750492504983165,1.1987602639147286,3.559143732565706e-08,1.0520492255764227,1.9079085905965605,2.1601009385473744,2.3995588788830626,2.430659437139046,2.052036777273094,1.4919980998741411,0.9403378878733727,0.41744598380802206,5.1242920319365744e-08,18.41363569950016
P7,93.33990859617053,86.82693971594185,74.89780670405574,56.36168614593237,31.8205032746219,16.215969427401998,6.920803066219122,2.599066840298336,7.68635967074807e-08,2.667696438367246,3.535694739575284,3.8298032737658345,4.0748601682437045,4.227166928176566,3.659283896485108,2.870447776064247,1.9382564708271555,1.0631965532981305,1.0953465515463615e-07,20.88679422114965
P8,47.03354545234692,32.9558307783904,20.285345515620318,14.502318925402514,11.440946462122008,8.114159736921724,4.683860577210152,1.99433095041016,3.800378288797072e-08,1.4014513734140728,2.285426297676786,2.7875453399929238,2.729183520689003,2.1466967075132946,1.6454682666141156,1.3367818424763869,0.9887026271930022,0.525388847581862,5.208846731794727e-08,8.255630700614098
P9,47.0647691689246,28.03996479673645,15.779312420374687,9.430073173868278,6.043053401333972,3.6756521085143716,1.9202594558488157,0.8070214226794284,2.1903338859277778e-08,0.13349602546523043,0.2717133300391093,0.9332351700016644,1.453028691505357,1.6753806704536047,1.8496782561417826,1.6001522872014282,0.9751393147014275,0.4046395317313679,2.978362642845922e-08,6.424029961958344
P10,86.38879339877059,62.505181743764105,34.197322640412516,20.331595514362938,12.326319680824199,6.9479597359183405,3.6472880946689146,1.1512167616661377,8.544777038134573e-09,0.4999241943365515,0.7762594956166172,1.0256734616308045,0.8959934172388713,0.6483027023355904,0.5530206778049254,0.5597838339335953,0.4786411131488179,0.21622535394044665,1.1907527384344247e-08,12.271026412675065
P11,90.7747255396623,84.38105979606429,76.30077499388062,54.73256941967497,32.502724762282654,17.896762841561483,8.49803824749658,2.959864841552579,4.1254723958380427e-08,2.3606045264768736,4.182538259393138,4.956438293503147,4.804634341981626,4.338098008942282,3.498295538446191,2.5825682790357316,1.690166461432045,0.8318189725711094,5.8362466880246234e-08,20.910088590714466
P12,33.00807830137845,15.280903049193258,8.87490925858844,6.282243257627335,4.068068035332444,2.1936515613568073,1.1854652949677245,0.44782712293218874,2.4318544933712364e-08,0.4595663678656675,0.8766231768745634,0.9996117759088687,1.263986908280206,1.2987523559467624,1.15352807866341,0.9730781670457259,0.7343334192604888,0.41609015575615826,3.915934979237452e-08,4.185090334234547
P13,73.09255284797672,55.093952503718604,30.224000958666064,15.97842929208235,8.237714423667624,4.763742171347664,2.4602280871749884,0.8930305528498697,7.145786151726334e-08,0.327332418716468,0.7204120907068988,0.9382922504115545,1.0093201124681592,0.9839729769780935,0.7718404711022462,0.4429088789807257,0.17085119603775456,0.05994795133678401,9.89266900652578e-08,10.324659439716163
P14,75.10011383006093,54.56719357272046,30.19541075733327,16.0263418895599,10.102289713809954,6.154443569706002,3.4643893119555567,1.420581157089589,5.494771369922645e-08,0.8723026692245756,1.4181915464402406,1.8914524913671842,2.0236826015730163,1.7630788160788782,1.4197298791625095,1.1516222109264873,0.8358426249803391,0.3947439991062692,7.784888005773195e-08,10.989547935467987
P15,84.86182139971237,81.27732503962436,59.87120856599438,36.895271866760844,21.875233753023878,11.845602755621528,5.33565265428432,1.6643413112600973,9.206623691167738e-10,0.19734488010101509,0.4169559633772156,0.9878491781823644,1.2992406458015724,1.4462921036333123,1.6192249229613083,1.4367612132592258,1.1499111332835836,0.7408758711228254,3.576871585835719e-09,16.469521750657986
P16,9.70596665123878,10.251663607946359,10.84438262653499,8.93651363453418,3.7968256275844054,1.2164603847417088,0.2576388062272193,0.3159090170476681,2.8300910222199166e-08,0.09750799249985843,0.6460235289348173,1.246810231146115,0.8523588138728464,0.2712770676635034,0.1259376037307415,0.2931819705716833,0.3623166581566414,0.054349476090258,2.793557919493976e-08,2.593427566039909
P17,93.74778257714904,88.16360418727659,73.01860683380235,50.56436735667264,27.896936034219188,14.925128818854263,6.448158066298881,1.8296551280511861,8.016988093743794e-08,1.098806481399071,3.587136588832524,4.032346788806269,3.604393232147779,3.6047696925463844,3.4815393582164407,2.9982175128413977,2.16804663549432,1.0548390485091377,1.0649102399705715e-07,20.117070238304127
P18,84.05091028241102,78.05318975726946,46.518557898170336,23.701133563507263,13.956245805012784,7.956722995831665,4.834841115701986,2.1917822679021923,6.968805929181096e-08,1.9139977220318545,3.719842166917484,3.8133647798880084,3.1550430236302156,3.3978048170185575,3.7402886312666173,3.5275744801372966,3.2987264865550254,1.9221270317275747,9.004839388154935e-08,15.250113314985041
P19,74.48716341507432,56.629907762789664,55.829619353671866,43.32861438491788,16.000546017829556,6.33771535137525,5.090013738420807,2.3908288043439856,7.697901996495218e-08,0.17499360539282274,0.24618244911941697,0.3384044449566191,0.9916785473781616,3.2473956670830835,5.526438754317829,6.049208409523469,4.338204614936354,2.1258236798362375,1.10147651361653e-07,14.901723115162842
P20,40.18438141024112,38.69240209276019,34.670341961264036,22.25322246144003,15.422028260395376,12.40324473214987,7.210840845497971,2.069661225884476,2.882191732646061e-08,0.28486644205947054,0.6144431743862878,1.0875561816142116,0.737478159846377,0.8402452171857495,1.7439664185840058,2.4527542093928347,2.304577191350472,1.0935192102681466,4.243910166235458e-08,9.687659435030612
P21,30.33090208695204,19.684470878100804,14.87995895154601,13.446875235794915,11.088329922024204,7.904438753497399,5.178494540411838,3.0046651809968146,3.2254433597400514e-08,2.0212688104531584,2.719116760770092,3.158553160553364,3.2966396776806963,3.1537096841934313,2.6894816283786223,2.0899190016640627,1.5016263977590798,0.9204259943072258,4.7384067289133586e-08,6.687835618143276
P22,67.56259134780062,64.85579299667198,46.076318157720394,28.66018498341839,14.706765885443449,4.1318269812997475,1.8359322897699637,0.7894810542467974,5.389475434627619e-08,0.370920135135295,0.4595126121523339,0.7686766530443332,1.3572426906590045,1.6088411288421496,2.064972116095951,1.5715481121912231,0.6934802592211576,0.10010407852300922,6.484145059592036e-08,12.506010084261684
P23,62.05056014076344,36.08238388015782,28.882187871618896,20.86210050510838,15.377623344772575,9.026482938986307,4.885170272677358,2.2174743608550243,4.451089653947215e-08,1.9779854258130143,4.472128218353191,4.8820520165500465,4.878443388443778,4.5231707567299,4.1845074306503856,3.4508953587238054,2.4592035447719494,1.3632751875488107,7.24543623537531e-08,11.135560250499472
P24,57.90273899551949,58.47458060263422,45.4038516170485,29.334174475861754,15.65482956599147,8.624915911608205,2.5099180528598164,0.18806583709544336,8.85252371108336e-08,0.0655460376235933,0.12289726197872394,0.5448103446941887,0.09856725655605363,0.09016917901766232,0.14997122199696272,0.14910668621958206,0.028978260342611372,0.13343205377663225,1.1485778293598336e-07,11.551397556010944
P25,98.71844275845596,91.05396674473296,60.75069846390062,35.362316321792015,22.60902968815769,13.132396724037543,6.154883961453523,2.177070372055139,3.56648687827199e-08,0.9244344469736618,1.1864202149625167,1.6749209065148578,2.108436061828662,2.383295287541724,2.367540351620424,2.0669883127964943,1.4813177092320062,0.7941123654315388,4.87713602980286e-08,18.15506688294335
P26,63.401255694183305,27.31662321362748,19.107291960288503,16.125282069929643,11.875689790302587,8.067461179810023,5.124740522471493,4.644165211697762,4.2511949849987826e-08,4.724556493024496,7.8186404636008335,8.368876488298287,7.410576577407159,5.86633714461198,4.512736647166646,3.1004858311722625,1.884605649085352,0.7297532898655489,6.303308661397231e-08,10.530477806952021
